Fruta,Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
Verde,LAB,3,30708,1.4698999984830152,680.3183897081656,27.6
Naranja,RGB,3,208785,1.105499999539461,904.5680691240062,33.5
Naranja,HSV,3,32771,1.5453000014531426,647.1235352744692,40.6
Naranja,YCbCr,3,19524,1.0210999971604906,979.3360129084652,47.6
Naranja,LAB,3,239465,1.7504000024928246,571.297988217467,21.3
Amarillo,RGB,3,273491,1.068099998519756,936.241926210904,23.3
Amarillo,HSV,3,8643,1.2650999997276813,790.4513478896962,45.7
Amarillo,YCbCr,3,289770,2.8762000001734123,347.68096792285235,75.5
Amarillo,LAB,3,255867,1.2809999971068464,780.6401266655049,36.1
Rojo,RGB,4,240416,0.8560999995097518,1168.0878408744925,45.6
Rojo,HSV,4,7595,1.1503999994602054,869.2628654982818,31.2
Rojo,YCbCr,4,287855,1.2447999979485758,803.3419036375282,19.6
Rojo,LAB,4,197107,0.6808999969507568,1468.6444477577531,25.9
Verde,RGB,4,31891,1.1777000036090612,849.1126746501659,30.8
Verde,HSV,4,251615,0.8975999990070704,1114.0819976673406,25.5
Verde,YCbCr,4,30086,1.0049000011349563,995.1238918007542,36.6
Verde,LAB,4,60032,0.7856000011088327,1272.9124218286063,24.1
Naranja,RGB,4,283192,0.9157999993476551,1091.9414727149185,24.2
Naranja,HSV,4,33703,1.1406000012357254,876.7315438511315,41.4
Naranja,YCbCr,4,16649,1.079600002412917,926.2689864440439,27.8
Naranja,LAB,4,283524,1.2815999980375636,780.2746578739383,23.9
Amarillo,RGB,4,240416,1.056199998856755,946.7903816345516,24.1
Amarillo,HSV,4,7595,1.0117000019818079,988.4353049729278,15.3
Amarillo,YCbCr,4,287855,0.9393000000272878,1064.6225912604586,15.2
Amarillo,LAB,4,197107,1.12989999979618,885.0340739714909,29.4
Rojo,RGB,5,249132,1.0929000018222723,914.9967959855675,15.9
Rojo,HSV,5,5167,1.084799998352537,921.8289099545345,20.8
Rojo,YCbCr,5,290044,0.8813999993435573,1134.5586575275388,26.5
Rojo,LAB,5,217203,1.0646000009728596,939.3199315105895,20.1
Verde,RGB,5,31262,1.2003999981970992,833.0556493684744,26.5
Verde,HSV,5,257443,0.7599000018672086,1315.96262342785,20.3
Verde,YCbCr,5,22628,0.8963000000221655,1115.697868989479,29.0
Verde,LAB,5,44169,1.7782000031729694,562.3664369675113,17.9
Naranja,RGB,5,261316,0.9731999998621177,1027.5380190522803,13.9
Naranja,HSV,5,33107,0.9884999999485444,1011.6337886211979,19.3
Naranja,YCbCr,5,17876,0.7418999994115438,1347.8905523563478,19.1
Naranja,LAB,5,274484,0.8600000001024455,1162.790697535904,16.7
Amarillo,RGB,5,249132,1.633599997148849,612.1449569939506,20.4
Amarillo,HSV,5,5167,1.0727000008046161,932.227089820001,16.9
Amarillo,YCbCr,5,290044,0.8716000011190772,1147.315280766482,17.7
Amarillo,LAB,5,217203,1.082500002667075,923.7875265923227,17.1
Rojo,RGB,6,268395,1.1380999967514072,878.6574139833057,20.0
Rojo,HSV,6,9392,0.7449000004271511,1342.462074676555,31.8
Rojo,YCbCr,6,289411,0.9998999994422775,1000.1000105588342,23.9
Rojo,LAB,6,242766,0.9375999979965854,1066.5529033028452,42.9
Verde,RGB,6,30287,0.9589000001142267,1042.861612139824,23.6
Verde,HSV,6,248200,1.109800003177952,901.0632520602489,40.4
Verde,YCbCr,6,19629,1.052199997502612,950.3896620162438,40.9
Verde,LAB,6,33603,0.7157000000006519,1397.2334777128533,30.7
Naranja,RGB,6,241529,1.069999998435378,934.5794406189378,29.2
Naranja,HSV,6,33282,1.5787000011187047,633.4325706539406,64.8
Naranja,YCbCr,6,20173,1.219199999468401,820.209974110911,29.0
Naranja,LAB,6,248709,0.9013999988383148,1109.3854019178573,28.3
Amarillo,RGB,6,268395,0.83470000026864,1198.035221849958,32.2
Amarillo,HSV,6,9392,1.5645999992557336,639.1409948074212,33.8
