Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
RGB,0,203669,0.9413999996468192,1062.2477165659288,17.7
RGB,1,230830,0.7267000000865664,1376.0836657229631,0.0
RGB,2,244841,0.6147000003693393,1626.8098249538884,0.0
RGB,3,219541,0.6176999995659571,1618.9088565690074,0.0
RGB,4,222355,0.6941999999980908,1440.5070584885484,0.0
RGB,5,242565,0.843699999677483,1185.25542299664,0.0
RGB,6,216698,0.6582999994861893,1519.0642576036935,0.0
RGB,7,217878,0.7022999998298474,1423.892923597151,0.0
RGB,8,237108,0.742500000342261,1346.8013461805285,0.0
RGB,9,217797,0.7263000006787479,1376.841524253713,0.0
RGB,10,248198,0.5992999995214632,1668.613383611702,0.0
RGB,11,227474,0.5756000009569107,1737.3175787657094,0.0
RGB,12,238475,0.5547000000660773,1802.7762752494634,0.0
RGB,13,220874,0.5557000004046131,1799.5321203381063,0.0
RGB,14,239181,0.5734999995183898,1743.6791644982975,0.0
RGB,15,225267,0.7518000002164626,1330.1409945624823,0.0
RGB,16,238541,0.5476000005728565,1826.150472888747,0.0
RGB,17,244179,0.5321000007825205,1879.3459848324999,0.0
RGB,18,216734,0.5457000006572343,1832.508702209295,50.0
RGB,19,244787,0.5485999990924029,1822.8217310506523,0.0
RGB,20,222654,0.5432999987533549,1840.6037222429222,0.0
RGB,21,228991,0.6226999994396465,1605.909749317291,0.0
RGB,22,250834,0.7268000008480158,1375.8943297099888,0.0
RGB,23,228953,0.7729999997536652,1293.6610612143256,0.0
RGB,24,242644,0.916299999516923,1091.345629736117,0.0
RGB,25,216027,0.6869999997434206,1455.604076235048,0.0
RGB,26,248405,0.7506000001740176,1332.2675190090088,0.0
RGB,27,223973,0.776400000177091,1287.9958781194068,0.0
RGB,28,242748,0.7624999998370185,1311.4754101163885,0.0
RGB,29,239986,0.7310000000870787,1367.9890559245928,0.0
RGB,30,220397,0.9263000010832911,1079.563854939564,0.0
RGB,31,217910,0.7093000003806083,1409.8406872457394,0.0
RGB,32,231583,0.8563000010326505,1167.8150166928124,0.0
RGB,33,237057,0.8462000005238224,1181.753721792686,0.0
RGB,34,249244,0.771099999838043,1296.8486580340211,75.0
RGB,35,223085,0.5418999990070006,1845.3589256918995,100.0
RGB,36,243343,0.5227999990893295,1912.7773560480296,0.0
RGB,37,241878,0.5691999995178776,1756.8517232027716,0.0
RGB,38,217696,0.6124999999883585,1632.653061255521,0.0
RGB,39,245674,0.6311000015557511,1584.5349350893014,0.0
RGB,40,230371,0.5335000005288748,1874.4142436901022,0.0
RGB,41,242358,0.7917999992059777,1262.945189445323,0.0
RGB,42,253531,0.6376000001182547,1568.3814300729791,0.0
RGB,43,248952,0.6381000002875226,1567.152483230541,0.0
RGB,44,245385,0.8101999992504716,1234.263146044329,0.0
RGB,45,232871,0.8259000005637063,1210.8003381976805,0.0
RGB,46,232422,0.7879000004322734,1269.196597856784,0.0
RGB,47,217347,0.7479000014427584,1337.0771467721897,0.0
RGB,48,238734,0.7248000001709443,1379.6909489019727,0.0
RGB,49,228836,0.6023000005370704,1660.302173515359,0.0
RGB,50,156566,0.5392000002757413,1854.5994055797669,0.0
RGB,51,229089,0.6627999991906108,1508.7507562178132,0.0
RGB,52,228328,0.793199998952332,1260.7160884024356,33.3
RGB,53,235451,0.531300000147894,1882.1757946953462,100.0
RGB,54,242448,0.5282000001898268,1893.2222636134336,0.0
RGB,55,239828,0.5267000015010126,1898.614006360654,0.0
RGB,56,234211,0.5335000005288748,1874.4142436901022,0.0
RGB,57,245285,0.597399999605841,1673.9203224971388,0.0
RGB,58,243675,0.6204000001162058,1611.863313689059,0.0
RGB,59,250348,0.7327999992412515,1364.6288223736492,0.0
RGB,60,237871,0.6644000004598638,1505.1173981153688,0.0
RGB,61,222617,0.8391999999730615,1191.6110581888706,0.0
RGB,62,224580,0.7734000009804731,1292.99198181052,0.0
